문항(키워드),자기소개서,회사,직무,지원 시기,대학 분류,전공,학점,언어,경험,기타
1. 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.,"학부시절 지역아동센터에서 멘토링 활동을 하며 공간의 중요성을 실감하였습니다. 문화체험 활동으로 멘티와 에버랜드에 가면서 아이의 새로운 면을 볼 수 있었습니다. 내성적이였던 멘티는 평소에 감정 표현을 잘 하지 않았기 때문에 멘토링에 어려움이 있었습니다. 하지만 에버랜드 카니발 퍼레이드를 함께 보면서 멘티가 활짝 웃는 모습을 처음 볼 수 있었습니다. 이를 계기로 멘티가 느꼈던 감정과 속 이야기를 하면서 급속도로 가까워질 수 있었습니다.제가 에스원에 지원하는 이유는 공간을 통해 이용객들에게 행복을 전할 수 있기 때문입니다. 'DESIGN HAPPINESS' 라는 서비스 철학을 바탕으로 많은 사람들이 이 공간에서 만큼은 행복과 즐거움을 느끼게 하고 싶습니다.에스원의 고객행복이라는 궁극적 목표달성을 위해 다방면에서 지원하는 관리자가 되고 싶습니다. 첫째, 리조트 부문은 폭우, 폭염 등 이상 기후에 상당한 영향을 받습니다. 그러므로 사내 다양한 사업의 특성을 이해하고 분석하여 상황에 맞는 의사결정을 할 필요가 있습니다.둘째, 직원만족은 고객경영으로 직결되기 때문에, 직원들을 뒷받침해줄 수 있는 경험을 기획하고 싶습니다. 고객에게 행복을 주는 공간을 기획하는 것이 임직원의 역할이기 때문에, 직원들의 업무능력을 향상시킬 수 있도록 다양한 경험 및 교육을 제공하겠습니다.",삼성에스원,경영지원,2024 상반기,인서울4년제,영어,학점 4.23,"토익: 930, 토익스피킹: 레벨6",,학점 4.23 공기업 인턴 6개월 사조사2급
"2. 본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. (※작품속 가상인물도 가능)","<에너지를 주는 소통: 고객 서비스에서 얻은 교훈> 아름다운가게에서 매장관리를 하며, 고객과의 소통을 통해 원활한 가게 운영을 할 수 있었습니다. 저는 사람들과 대화하는 것을 즐기기 때문에 고객의 문의에 성실히 응답하는 것에 큰 보람을 느꼈습니다. 때로는 손님들이 물건을 찾는 것 같을 때, 적극적으로 다가가 도움이 필요한지 물어보았습니다. 물건을 진열하는 동안, 연령층이 높은 단골 손님들께 인사를 건네며 친밀감을 고취시키려 노력했습니다. 매장 운영은 가끔 힘든 순간도 있었지만, 고객과의 소통을 통해 에너지를 얻을 수 있었던 소중한 경험이었습니다. 고객에게 훌륭한 서비스를 제공하여 그들의 마음에 따뜻한 인상을 남기는 것이 제 궁극적인 목표입니다. 고객과의 소통 경험을 토대로, 고객이 요구하는 바를 정확히 이해하고 신속히 처리하는 서비스 전문가가 되겠습니다.<다양한 부서와의 소통> KOTRA에서 인턴을 하면서 외장하드 등록 업무를 담당하여 다양한 팀원들과 소통하였습니다. 각 부서 팀원들이 사내에서 일반 외장하드를 사용할 수 있도록 등록 절차를 수행해야 했는데, 등록을 승인하는 역할을 맡았습니다. 팀원들이 신청 및 사용 방법에 대해 문의할 때마다 친절하게 안내하고, 모르는 부분은 성심껏 설명해주었습니다. 타부서 팀원과의 소통을 통해 타인이 쉽게 이해할 수 있도록 명확하게 정보를 전달하는 것이 중요하다는 것을 깨달았습니다.",삼성에스원,경영지원,2024 상반기,인서울4년제,영어,학점 4.23,"토익: 930, 토익스피킹: 레벨6",,학점 4.23 공기업 인턴 6개월 사조사2급
3. 최근 사회이슈 중 중요하다고 생각되는 한가지를 선택하고 이에 관한 자신의 견해를 기술해 주시기 바랍니다.,"[환경문제 속 비즈니스 기회 찾기] 사회·문화적 기대가 끊임없이 변화하면서 기업은 그에 맞는 사회적 책임(CSR)을 지고 있습니다. 세계적으로 기후변화와 탄소중립이 주요 의제로 논의되면서 소비자들은 '에코웨이크닝', 즉 환경인식이 점점 커지고 있습니다. 이에 따라 기업들은 사회적 기대를 제품 및 서비스에 반영하기 위해 친환경 소재를 사용한 제품을 생산하고 있습니다. 환경문제를 해결하는 주체가 국가적 차원만이 아닌, 기업차원으로 확대되고 있는 것은 바람직한 방향이라고 생각합니다. 기업은 경제적 가치를 추구하면 환경문제 해결을 포기해야 한다는 생각때문에 환경오염을 일으키면서 경제적 가치를 극대화하고자 하였습니다. 하지만 이 두 가지는 서로 상충관계가 아닌 시너지를 줄 수 있는 보완적 관계임을 인식해야 합니다. 그렇기 때문에 기업 스스로 비즈니스를 새롭게 정의하는 관점의 변화가 필요합니다. 기업이 환경문제 해결에 앞장서고, 이 속에서 비즈니스 기회를 찾는다면 경제적 이윤과 사회적 가치 창출을 동시에 얻을 수 있을 것입니다.",삼성에스원,경영지원,2024 상반기,인서울4년제,영어,학점 4.23,"토익: 930, 토익스피킹: 레벨6",,학점 4.23 공기업 인턴 6개월 사조사2급
2. 직무관련," 양주도시공사에서 청년인턴으로 근무하며 첫 방문이었던 이용객을 대상으로 체육시설 이용 관련 내용에 대해 전반적으로 안내해드렸습니다. 해당 이용객은 타지에서 이사를 왔기에 현지 체육시설 이용과 관련하여 사정에 밝지 못하였습니다. 그리하여 우선 체육시설을 이용하기 위한 절차에 대해 설명해 드렸습니다. 인터넷 대관 예약을 위한 계정을 만들기 위한 회원 가입부터 대관 예약 방법, 대관료 결제 및 시설 이용 안내에 필요한 기본적인 사항에 대하여 안내드리며 현지 체육 동호회 관련 내용에 대해서도 간략하게 안내해드렸습니다. 이를 통해 추후 스스로 대관 예약을 통해 체육시설을 이용하실 수 있도록 도와드렸습니다.[고객친절] 양주도시공사에서 인턴으로 근무하며 체육 시설을 이용하는 이용객의 문의에 적극적으로 대응하였습니다. 주말에 테니스 대관 문의를 위해 사무실에 방문한 이용객이 있었습니다. 대관 현황을 확인해 보니 이미 다른 이용객의 대관 예약이 잡혀있어 이용하지 못하는 상황이었습니다. 하지만 이때 급히 대안을 마련하여 차량으로 이동할 때 불과 몇 분 거리에 있는 테니스장을 안내해 드렸으며 바로 대관할 수 있다는 사실을 확인한 뒤에 현장 결제를 도와드렸습니다. 그 결과, 적극적인 안내 및 설명을 통해 테니스장을 이용하실 수 있도록 원만하게 조치하였습니다. 당시의 나라면 어떻게 했을지 생각하면서 해결책을 제시했기에 이용객의 입장에서 편의를 배려해 드릴 수 있었고, 좋은 인상을 심어 드릴 수 있었습니다. 이를 계기로 고객을 응대하는데 필요한 맞춤 서비스 능력을 기르기 위해 노력하였습니다.[협동심] 물류센터 반품 공정에서 근무하며 업무 설명 및 안내를 통하여 사원들의 협력을 이끌어냈습니다. 현장에는 수많은 사원이 각기 담당한 공정에서 근무하고 있었습니다. 당시 단기사원 4인이 한 조가 되어 근무하는 공정이 있었습니다. 여기서 점심시간 이후 한 명이 조퇴하며 결국 남은 세 명이 근무해야 했습니다. 그러나 이들은 한 명이 조퇴하였다는 이유로 제대로 업무를 하지 않았습니다. 여기서 저는 해당 공정에서 오랫동안 근무한 경험을 바탕으로 업무를 직접 시연하며 구체적으로 설명하였습니다. 여기서 반품 공정 전체를 위해서 사원들 각자 맡은 업무가 중요하다는 점을 역설하였습니다. 업무 도중에 힘들다면 직접 도와줄 것이며 그것도 힘에 부친다면 중간관리자에게 말씀드려 직원을 보강하겠다고 설득하였습니다. 그 결과, 사원의 협력을 이끌어냈으며 곧 대체 인원이 보강되어 업무를 원만히 마무리 지었습니다.",성동구도시관리공단,업무직,2024 상반기,지방대,문과,학점 4.04/4.5,토익: 890,,학점 4.04/4.5
3. 성격소개," 섬세한 업무처리능력이 제 장점입니다. 학교에서 일하던 당시 카드비용을 정산하던 때였습니다. 한 달간 사용한 액수에 대해서 영수증과 카드 명세서를 비교하며 액수를 정확히 계산해야 했습니다. 여기에 영수증을 날짜 별, 항목 별로 정리해야 했기에 섬세함이 많이 요구되었습니다. 처음엔 반복해서 오차가 생겼고 갈수록 지치기도 했지만, 평소 숫자계산에 자신 있었기에 포기하지 않았습니다. 결국 여러 번 오차를 수정해서 액수를 정확하게 정산하는데 성공했습니다. 반면 지난 일에 대한 집착이 강합니다. 실수에 대한 집착으로 인해 업무에 열중하지 못하고 그르치는 경우가 있었습니다. 이 일을 계기로 지난 일을 반면교사로 삼아 끊임없이 보완하고 개선하며 성장하는 직원이 되도록 하겠습니다.",성동구도시관리공단,업무직,2024 상반기,지방대,문과,학점 4.04/4.5,토익: 890,,학점 4.04/4.5
4. 장래희망 및 입사후 포부," 시설 안내원으로 근무하며 방문하는 모두에게 열려있는 이미지를 심어줄 수 있도록 하겠습니다. 이를 위해 첫째, 주인 의식을 바탕으로 상대방의 편의를 생각하여 공공서비스를 제공하겠습니다. 둘째, 조직 구성원들과 원만한 관계를 쌓으며 이를 바탕으로 업무를 수행하는 데 원만한 분위기를 형성하기 위해 노력하겠습니다. 마지막으로 자기개발을 통해 필요한 업무 역량을 키워나가도록 하겠습니다. 이와 같은 업무를 위한 능동적인 자기계발을 통하여 늘 준비된 인재, 신뢰받는 직원이 되도록 하겠습니다.",성동구도시관리공단,업무직,2024 상반기,지방대,문과,학점 4.04/4.5,토익: 890,,학점 4.04/4.5
"1. 빙그레의 인재상에 비춰볼 때, 지원자님은 어떤 유형의 인재라고 생각하는지 구체적 사례를 들어 기술해 주세요. (인재상: 채용사이트 내 도움말 참조)","<성장을 거듭하는 열정 인재>빙그레의 인재상 중 저를 가장 잘 표현하는 유형은 “최선을 다하는 열정 유형의 인재” 입니다. 초등학교, 중고등학교, 대학교에 이르기까지 끊임없이 도전하는 자세를 지향하였고, 설령 당장은 불가능해 보이는 목표가 있더라도 최선을 다해 노력해 왔습니다. 제 삶에서 가장 처음 도전했던 것은 조리 특성화고등학교에 진학하는 것이었습니다. 외식 산업 분야로 진로가 특정될지 우려하였던 가족의 만류에도 불구하고, 식품에 대한 명확한 관심을 기반으로 자신만의 커리어 패스를 구축하고자 한국조리과학고등학교의 조리과 진학을 도전하였습니다. 요리에 대한 지식과 경험이 전무한 상태로 입학하였기 때문에 실습실에서만큼은 열등생이었습니다. 그러나 졸업할 때는 누구보다 뛰어난 실력을 갖추는 것을 목표로 정진했습니다. 이러한 열정을 녹여내 3천시간의 조리 실습을 이수하였으며, 조리기능사 자격증 중 가장 높은 난도인 복어조리기능사를 포함하여 총 7개의 조리기능사 자격증을 취득하고 조리 경진대회에서 입상할 정도의 우수한 실력을 갖추었습니다. 나아가 조리를 전공하며 갖게 된 외식 경영인의 꿈을 키워나가고자 대학교 진학을 위한 학업을 병행하여 경희대학교 외식경영학과에 입학할 수 있었습니다. 고교 시절 치열하게 도전하고 성장했던 경험은 성인이 된 이후에도 지속적인 성장 동력으로서 작용했습니다. 2번의 해외 인턴십과 4번의 식품 관련 대외활동, 1년 8개월의 MD 정규직을 수행하며 마주하는 한계를 넘어설 수 있었습니다. 이러한 열정과 도전정신을 바탕으로 밝은 미소의 메신저 빙그레의 가장 빛나는 영업사원이 되겠습니다.",빙그레,국내영업,2024 상반기,경희대,외식경영,학점 3.6,오픽: IH,사회생활 경험: 스타트업 1년 8개월,학점 3.6 해외 인턴십 2회
2. 지원 직무에 대한 지원자님의 경쟁력을 기술해 주세요.,"< 협상력에 기반한 전략적 커뮤니케이션 역량 > 제가 지닌 영업관리 업무의 경쟁력은 협상력에 기반하여 전략적인 커뮤니케이션을 수행하는 점 입니다 대학교 시절부터 학회, 동아리, 학생회 등의 활동을 통해 다양한 유형의 사람들과 네트워킹하였고, 이러한 과정에서 협상력을 바탕으로 활동을 끌어나가는 역량을 발견할 수 있었습니다. 이러한 협상 역량을 보다 발전시키기 위한 노력을 지속하였습니다. 먼저, 관련 도서를 통해 협상의 쟁점을 학습하였습니다. 특히 로버트 치알디니 작가의 저서 ‘초전 설득'을 통해 협상의 기본 이론을 학습하였습니다. 협상 주도권을 갖기 위해 필요한 상황과 감정적 교류, 협상을 이루는 완벽한 타이밍을 찾는 방법을 배울 수 있었습니다. 나아가 협상 연구회 17기로 활동하며 보다 세부적인 협상 기술을 강화하였습니다. 협상의 근본적인 역량과 그에 기반하여 활용할 수 있는 배트나 프레이밍 등 협상에 활용하는 기술을 습득하였고, 실제 구매자와 판매자가 되어 협상 실습을 진행하며 배운 협상 기술을 체화시킬 수 있었습니다. 마지막으로 이러한 활동을 통해 향상한 협상 역량을 실제 업무에 적용하여 자체 노하우를 강화하였습니다. 000의 MD 근무에 있어 크리에이터 섭외 및 계약 조건을 조율하는 과정이 포함되어 있었습니다. 초반에 크리에이터의 요구를 수용하여 계약을 진행하였다면, 협상 역량을 강화하여 사측의 의도와 조건을 반영한 계약 진행에 집중하였습니다. 이를 통해 크리에이터와의 관계를 유지하면서 기업의 이윤 향상에 기여할 수 있었습니다. 이처럼 지속해서 발전시켜 온 협상력과 커뮤니케이션 역량은 빙그레에서 영업 관리 업무를 수행하는 데 도움이 될 수 있으리라 자신합니다.대학교 3학년, 청년 인턴으로 근무하며 몰입과 집요함을 기반으로 차별화된 성과를 달성한 경험이 있습니다. 당시 00공사의 해외 인턴으로 선발되어 00지사에서 3개월간 신규 거래처 발굴 업무를 수행했습니다. 이러한 목표를 달성하기 위하여 몽골의 외식 산업에 대한 조사를 바탕으로 총 13곳의 현지 유통사와 미팅을 추진했습니다. 그러나 미팅을 통해 적극적으로 상품을 어필해도 거래 계약으로 이어지지 않아 난항을 겪었습니다. 한국과 몽골의 식문화가 상이한 데다, 유통 인프라 격차로 인해 수출 사와 유통 시간의 매칭이 잘 이뤄지지 않았고, 계약에 대한 논의가 시작되어도 몽골 유통사 특유의 소극적인 커뮤니케이션으로 인해 흐지부지되고는 했습니다. 이러한 상황을 해결하고자 보다 적극적으로 소통이 가능한 수출사-유통사 간의 수출 상담회 개최를 제안하였습니다. 대규모 행사 기획에 많은 인적, 물적 자원이 투입되는 부담이 컸지만, 신규 거래처 발굴이라는 활동 목표를 달성하고자 하는 의지를 바탕으로 프로젝트를 선도하였습니다. 상담회 전 수출 사와 유통 시간의 소통에 도움이 될 수 있도록 유통 세미나와 제품 전시회를 준비했습니다. 덕분에 수출사는 몽골 시장에 대한 이해도를 바탕으로 상담회에 임하였고, 유통사 또한 수출사의 다양한 제품군에 관심을 가졌습니다. 소통의 어려움을 보완한 덕분에 수출 상담회는 활발하게 진행되었고, 마침내 상담회 당일에 양국 기업간의 첫 수출계약을 체결하여 활동 목표를 달성할 수 있었습니다.",빙그레,국내영업,2024 상반기,경희대,외식경영,학점 3.6,오픽: IH,사회생활 경험: 스타트업 1년 8개월,학점 3.6 해외 인턴십 2회
3. 상기 문항에서 언급되지 않았으니 기재하고 싶은 추가 내용이 있을 시 간단하게 요약하여 기술해 주세요.,"상기 문항에 포함되지 않았던 퇴사 사유에 대해 말씀드리고 싶습니다. 먼저 저는 행복이란 함께 성장하고 성취하는 과정이라고 생각합니다. 지난 스타트업에서 근무한 경험이 이러한 행복을 정의하는 전환점이 되었습니다. 이전에는 개인적인 성장과 성취만이 행복의 길이라고 생각하였습니다. 그러나 근무하였던 기업이 유의미한 성과를 도출하지 못하였을 때 행복감이 점차 사라지는 것을 느꼈던 경험이 있습니다. 당시 300억 이상의 투자를 유치한 스타트업에서 130여개의 콘텐츠를 출시하며 업무 목표를 달성하였으나, 매출은 지속해서 역신장을 기록했고 점차 재정이 악화하여 감을 느낄 수 있었습니다. 콘텐츠 사업부의 다양한 도전도 유의미한 성과를 달성하지 못했고, 이후 구조조정까지 진행되었습니다. 열정적으로 회사를 위해 일했던 동료들이 떠나는 것에 대한 불안을 경험하는 것은 사회초년생으로서 쉽지 않았습니다. 결국 회사는 지속해서 실적이 감소했고, 콘텐츠 기획의 목적을 잃고 퇴사하게 되었습니다. 이러한 과정에서 행복이란 개인적인 성취로만 지속할 수 없으며, 조직 안에서 함께 성장하며 안정과 성취감을 통해 얻을 수 있다는 것을 알게 되었습니다. 향후 소속되어 있는 조직에서 목표를 달성하며 기업과 함께 성장하는 행복을 지속해서 추구해 나가고 싶습니다.",빙그레,국내영업,2024 상반기,경희대,외식경영,학점 3.6,오픽: IH,사회생활 경험: 스타트업 1년 8개월,학점 3.6 해외 인턴십 2회
"1. 지원하게 된 동기 및 연구활동, 성과계획 및 목표."," 저는 다양한 설계프로그램을 사용하고 배웠습니다. 작년부터 설계에 대한 관심도가 높아져서 AUTO CAD를 공부하여 자격증을 취득했습니다. 추가적으로 NX (3D CAD) 교육을 이수하여 수료증을 취득하였습니다. 강사를 해주시는 분이 직접 실무를 맡고 계셨던 분이라 실무에서 사용되는 도면 및 다양한 노하우를 전수해 주었습니다. 학기 중에는 CATIA를 사용하여 설계하는 방법 및 도면을 보는 방법을 배웠고, 추가로 INVENTOR를 배워 3D프린터로 직접 설계한 것을 뽑아보는 등 많은 노력을 했습니다. 그리고 다양한 외부 활동을 통해 직무 경험을 쌓았습니다.  올해 학기 초부터 캡스톤 디자인이라는 프로젝트를 진행했는데, 수소 전기자동차를 직접 연구하고 공부하여 제작하는 프로젝트에 팀장을 맡아 전반적인 프로젝트를 진행했습니다. 차체를 제작하는 부분에서 수소연료탱크와 바퀴 및 축 치수를 고려하여 직접 CATIA를 통해 설계했고, 설계한 차체를 3D프린터로 제작하여 자체를 만들었습니다. 이 밖에도 물이 수소와 산소로 전기분해로 차량이 움직일 수 있는 동력의 생산 원리를 실험과 연구를 하면서 확립했습니다. 그 결과물을 바탕으로 발표하여 우수한 성적까지 받으면서 설계능력을 입증했습니다.  학생회장으로서 각 학과 팜플렛을 제작하면서 전자제품 산업에 대해 자료조사를 한 적이 있습니다. 이를 계기로 기술력을 바탕으로 가전부품 및 중소형가전 분야에서 독보적인 기술 포트폴리오를 가진 회사라는 것을 알았습니다. 전자부품 시장에서 인정받기 위해서는 타 업체들을 능가하는 기술력을 갖추어야 할 것입니다. 저는 기계공학 전공자로서 공부하면서 체득한 역량을 바탕으로 설계 업무를 담당하고 싶습니다. 대학교에서 교수님과 함께 동력의 원리를 이용하여 수소 전기자동차 특성을 분석해본 경험이 있습니다. 수소연료탱크와 바퀴 및 축 치수를 고려하여 분석해보았습니다. 저는 이와 같은 경험을 바탕으로 스타리온 기원에서 전자부품을 설계하는 데 직무를 담당함으로써 스타리온 기원 글로벌 매출 달성에 반드시 기여하겠습니다.",스타리온 기원,연구개발팀,2024 상반기,인제대학교,기계공학과,학점 3.5/4.5,,,"학점 3.5/4.5 학생회 활동 한국사검정시험: 초급, 기타: AUTO CAD 마스터 1급"
2. 지금까지 살아오면서 달성했던 가장 큰 목표 및 목표를 해결하기 위한 과정과 결과 또는 성과.,"  저는 2023년도 인제대학교 학생복지위원회 위원장으로 활동했습니다. 선출되고 나서 가장 먼저 한 업무는 한해의 행사 계획이었습니다. 학업에 대한 스트레스를 해소하면서 몸과 마음을 단련시키는 행사를 진행해야겠다고 다짐했습니다. 전 학년을 대상으로 사전 조사를 시행했고 최다 득표인 국토대장정으로 결정했습니다. “20대의 팔팔한 청춘을 그리는, 이팔청춘”이라는 슬로건으로 제주도 올레길을 걷는 코스로 기획을 진행했습니다. 인원 모집 공고, 홍보물 및 로고 제작, 예산 편성 등 전 과정을 도맡아 신경을 쓰고 노력했습니다. 60여 명이 넘는 학생들의 단장으로서 안전에 유의하여 4박 5일간 국토대장정을 무사고로 무사히 마칠 수 있었습니다. 처음으로 하는 대외 활동에 규모가 커서 걱정을 많이 했는데 함께 준비했던 학생회 일원들이 있었기에 성공적인 행사를 진행할 수 있었습니다. 행사를 마무리하고 국토대장정에 참가했던 참가자들과 학생회 교수님의 인정을 통해 과정은 힘들었지만, 성취감을 경험할 수 있었습니다. 학창 시절부터 대규모 프로젝트를 진행해보는 것이 목표였는데, 직접 부딪혀보면서 구성원들과의 소통과 리더십, 대처능력 등 많은 것을 배울 수 있었습니다.",스타리온 기원,연구개발팀,2024 상반기,인제대학교,기계공학과,학점 3.5/4.5,,,"학점 3.5/4.5 학생회 활동 한국사검정시험: 초급, 기타: AUTO CAD 마스터 1급"
3. 지금까지 살아오면서 겪은 가장 큰 환경의 변화와 어떤 방식으로 그 환경의 변화에 대처 한지.," 저는 학기 내내 학생회 활동을 하면서 구성원들과 끊임없는 의사소통을 통해 문제점 및 개선할 점, 올바른 학생윤리를 이끌 수 있도록 노력했습니다. 하지만 코로나가 유행하기 전의 학교 분위기와 이후의 학교 분위기는 전혀 달랐습니다. 학생들 서로 간의 교류가 줄어드니 공동체 사회에서 개인주의적 사회가 되어가는 것을 몸소 느꼈습니다. 이러한 부분은 학생회의 행사 참여 빈도에서 수치상으로 나타났고, 행사를 기획 및 준비하는 입장에서 개선해야 한다고 생각했습니다. 하지만 한편으로는 코로나로 인해 참여를 안 한다는 판단으로 참여 인원을 줄이고 행사에 들어가는 예산을 축소시켰습니다. 더욱더 다양한 행사를 많이 진행하면서 학생들이 적응할 수 있도록 권장했습니다. 실제로 이런 방법으로 진행해보니 참여율도 높아졌고 행사 만족도 조사를 시행했을 때 좋은 성과를 거둘 수 있었습니다. 점점 달라져 가는 학생문화에 빠르게 적응하고 이에 대한 해결책 및 개선 방안을 모색하여 적응할 수 있는 능력을 키우게 되었습니다.",스타리온 기원,연구개발팀,2024 상반기,인제대학교,기계공학과,학점 3.5/4.5,,,"학점 3.5/4.5 학생회 활동 한국사검정시험: 초급, 기타: AUTO CAD 마스터 1급"
4. 자신의 성격 (강점/ 약점)," 제가 생각했을 때 저의 장점은 끈기와 책임감 그리고 도전정신입니다. 한 가지 일에 몰두하게 되면 목표를 달성하기 위한 많은 노력과 최선을 다하여 일을 수행해냅니다. 학기 내내 학생회 활동을 하면서 활발하고 쾌활한 성격으로 여러 사람과 소통하며 거리낌 없이 잘 지냈고, 캡스톤 디자인 프로젝트 내에서 팀장으로서 다양한 아이디어와 의견을 제시하여 팀을 이끌었습니다. 또한, 학생복지위원장, 중앙선거관리위원장이라는 중요한 자리에 선출되어 학생들 앞에서 약속했던 행사 및 공약 사항을 지킬 수 있도록 책임감 있게 행동했습니다. 그 결과로 공약률 100%를 달성하여 믿음에 대해 보답을 했습니다. 제가 생각했을 때 저의 단점은 여러 일이나 임무가 한 번에 들어왔을 때 멀티태스킹이 되지 않아서 되물어보는 경우가 더러 있습니다. 이 부분에 대해 극복하고자 항상 주의를 기울이고 메모를 습관화하면서 단점을 극복하려고 노력하고 있습니다.",스타리온 기원,연구개발팀,2024 상반기,인제대학교,기계공학과,학점 3.5/4.5,,,"학점 3.5/4.5 학생회 활동 한국사검정시험: 초급, 기타: AUTO CAD 마스터 1급"
"1. 지금까지 참여했던 단체 활동, 프로젝트 등에서 겪은 가장 큰 난관은 무엇이었습니까? 그 안에서 맡은 역할은 무엇이었습니까? 문제 해결을 위해 어떠한 시도를 하였고, 어떻게 해결했는지 구체적으로 기술해 주세요.","문제의식에 기반한 비효율개선 00 콘텐츠 사업부에서 근무하던 당시 내부 시스템 어드민 기능 업데이트 후 업무에 필요한 기능이 삭제되어 불편을 겪은 경험이 있습니다. 페이지 세팅에 필요한 크리에이터 정보 확인기능이 상실되어 별도의 작업으로 내용을 확인해야 되었고, 런칭일 수정 기능이 사라져 기술팀에 개별적으로 요청해야 되어 양측 리소스 낭비를 발생시켰습니다. 또한 업무 순서와 맞지 않는 세팅 순서로 프로세스전반이 비효율적으로 되었습니다. 서비스가 빠르게 전환되는 과정에서 급격한 기능 개발이 이뤄지는 시점이라 실무진의 의견을 반영하지 않고 업데이트가 진행된 것이 문제였는데 이를 근본적으로 해결하고 싶었습니다. 먼저 동료들의 피드백에 기반한 개선 요청사항을 기능 담당 PM에게 전달했고, 사유에 대해서도 상세하게 설명하였습니다. 개발팀에서는 실무진의 의견을 받아들여 요청한 개선사항을 적용해 빠르게 업데이트 해주었고 해당 과정에서 사소한 부분도 간과하지 않고 지속적으로 팔로우업조치를 취하였습니다. 결국 필요한 부분을 완벽하게 반영한 개선을 진행할 수 있었고, 팀전체의 업무효율을 높일 수 있었습니다.",ak plaza,영업관리,2024 상반기,경희대,외식경영,학점 3.6,오픽: IH,사회생활 경험: 스타트업 1년 8개월,학점 3.6 해외인턴 2회
