문항(키워드),자기소개서,회사,직무,지원 시기,대학 분류,전공,학점,언어,경험,기타
"2. 지금까지 살아오며 본인의 자아/생각/사고방식 등에 큰 영향을 미친 요소들은 무엇입니까? 개인의 성장과정과 함께 기술해 주세요. (인물, 사건, 창작물 등)","긍정과 끊임없는 도전초등학교, 중고등학교, 대학교에 이르기까지 끊임없이 도전하는 자세를 지향하였고, 설령 당장은 불가능해 보이는 목표가 있더라도 긍정의 사고를 바탕으로 노력해 왔습니다. 관련 경험으로 대학 시절 해외 교환학생으로 가고 싶었지만 집안에서 도움을 받을 수 없고 금전적인 여유도 없던 상황이었던 적이 습니다. 하지만 교환학생은 대학생일 때에만 경험해 볼 수 있었고 입학 때부터 절실하게 참여를 원하였기에 적극적으로 기회를 모색하였습니다. 그 결과 디즈니 인턴십과 학업이 결합한 International College Program을 찾을 수 있었고, 선발되기 위하여 치열하게 준비 하였습니다. 지원 마감을 맞추기 위하여 한 학기 휴학을 결정하였고, 부족한 영어 실력을 갖추기 위해 토플을 공부하였습니다. 또한 해외 거주기간 동안의 생활비를 모으려 다양한 아르바이트를 하는 등 만반의 준비를 갖추어 지원하였습니다. 학교, 미국 UCF 대학, 디즈니 본사 직원과 총 3번의 인터뷰 끝에 교환학생으로 선발되어 미국 최고의 테마파크에서 근무하며 공부도 하는 경험을 할 수 있었고, 이런 경험을 바탕으로 대학교 3학년 농식품부 해외 인턴십 기회까지 잡을 수 있었습니다.",ak plaza,영업관리,2024 상반기,경희대,외식경영,학점 3.6,오픽: IH,사회생활 경험: 스타트업 1년 8개월,학점 3.6 해외인턴 2회
3. 업무/직무와 무관하게 본인이 가장 자신 있게 잘할 수 있는 것은 무엇입니까? 그것을 잘 하기까지 어떠한 노력을 했는지 구체적으로 기술해 주세요.,"< 전략적 커뮤니케이션 역량 > 협상력에 기반하여 전략적인 커뮤니케이션을 수행하는 것이 자신있게 잘한다 얘기할 수 있는 부분입니다. 대학교 시절부터 호텔경영학회, 유도 동아리, 6번의 대외활동에 참여하며 다양한 유형의 사람들과 네트워킹을 하였고, 이러한 과정에서 협상력을 바탕으로 활동을 이끌어나가는 역량을 발견할 수 있었습니다. 이러한 협상 역량을 보다 발전시키기 위한 노력을 지속하였습니다. 먼저, 관련 도서를 통해 협상의 쟁점을 학습하였습니다. 특히 로버트 치알디니 작가의 저서 ‘초전 설득'을 통해 협상의 기본 이론을 학습하였습니다. 협상 주도권을 갖기 위해 필요한 상황과 감정적 교류, 협상을 이루는 완벽한 타이밍을 찾는 방법을 배울 수 있었습니다. 나아가 협상연구회 17기로 활동하며 보다 세부적인 협상 스킬을 강화하였습니다. 협상의 근본적인 역량과 그에 기반하여 활용할수 있는 배트나 프레이밍 등 협상 관련 스킬을 배울 수 있었습니다. 또한 실제 구매자와 판매자가 되어 협상 실습을 진행하며 배운 협상 스킬을 활용하며 체화시킬 수 있었습니다. 마지막으로 이러한 활동을 통해 향상시킨 협상 역량을 실제 업무에 적용하여 자체 노하우를 강화하였습니다. 00기업의 MD근무에 있어 크리에이터 섭외 및 계약 조건을 조율하는 과정이 포함되어 있었습니다. 초반에 크리에이터의 요구를 수용하여 계약을 진행하였다면, 협상 역량을 강화하여 사측의 의도와 조건을 반영한 계약 진행에 집중하였습니다. 이를 통해 크리에이터와의 관계를 유지하면서 기업의 이윤 향상에 기여할 수 있었습니다. 이와 같이 지속적으로 발전시켜온 협상력과 커뮤니케이션 역량은 AK 에서 영업관리 업무를 수행하는데 도움이 될 수 있으리라 확신합니다.",ak plaza,영업관리,2024 상반기,경희대,외식경영,학점 3.6,오픽: IH,사회생활 경험: 스타트업 1년 8개월,학점 3.6 해외인턴 2회
"4. AK PLAZA / AK MALL을 이용하면서 느꼈던 장/단점을 제시하고, AK PLAZA / AK MALL의 경쟁력을 제고할 수 있는 아이디어를 제시해 주세요.","높은 접근성을 뒷받침하는 편의성 AK PLAZA는 높은 접근성과 생활밀착형 매장 입점으로 인한 친근한 느낌이 강점으로 느껴졌습니다. 특히나 2030세대가 자주 이용하는 라이프스타일 관련 매장이 빠짐없이 입점되어 있어 친근한 백화점으로 다가갈 수 있다는 장점이 있습니다. 또한 다양한 가격대의 드 입점으로 인해 소비자의 니즈를 폭넓게 충족하여 고객 편의성에 집중하였다고 느껴졌습니다. 이는 기존 백화점과의 차별화 요인과 동시에 NSC컨셉을 지향하는 AK PLAZA만의 장점이라고 생각합니다. AK PLAZA의 관점을 담은 매장의 부재다만 큐레이션 요소가 부족하였던 점이 아쉬웠습니다. 관련하여 경쟁사인 현대백화점의 경우 자체 기획 편집샵을 다수 유치하여 차별화 요소를 강화하는 것을 볼 수 있었습니다. AK PLAZA만의 브랜드 방향성과 기획력을 녹인 큐레이션 매장을 찾을 수 없다는 것은 신규 고객 유입에 어려움이 될 수 있다고 생각합니다. 점포 경쟁력을 강화하는 자체 기획 콘텐츠 AK PLAZA의 장점인 높은 접근성은 인근 지역주민을 유입하는 강점이 되나, 신규 고객을 유치하기 위한 큐레이션 요소가 부족한 것이 단점으로 생각됩니다. AK PLAZA만의 자체기획 콘텐츠를 강화하여 경쟁력을 제고할 수 있다고 생각합니다. 관련하여 카테고리 영향력을 갖춘 크리에이터와의 기획 브랜드를 론칭한다면 화제성과 함께 차별성을 강화할 수 있을 것입니다.",ak plaza,영업관리,2024 상반기,경희대,외식경영,학점 3.6,오픽: IH,사회생활 경험: 스타트업 1년 8개월,학점 3.6 해외인턴 2회
1. 성장과정,"살아가는 데 있어서 중요한 가치관은 다양한 이해관계자들과의 소통입니다. 이 가치관을 가지게 된 계기는 학교생활, 사회생활을 통해 다양한 가치관을 지닌 사람들과 생활하는 과정에서 크고 작은 문제들을 해결했기 때문입니다. 학부 시절 무기재료화학 분야의 연구실 소속 학생으로서 매주 세미나에 참여하면서 의사소통의 중요성을 다시금 깨달은 경험이 있습니다. 그 당시, 5명의 팀원과 월 1회 진행되는 발표 연습 스케줄 조정해야 했습니다. 발표 순서를 정하는 과정에서 의견 차이가 발생했고, 이를 해결하고자 했습니다. 우선 서로 원하는 시간을 말해보는 시간을 통해 학업, 아르바이트, 학부 연구생 등의 활동을 병행하다 보니, 서로 원하는 시간에도 이유가 있다는 것을 알게 되었습니다. 이후 합리적인 대안을 마련하고자 5명 팀원의 2개월 동안 개인 스케줄을 공유하고, 서로 겹치지 않고, 과제 수행이 가능한 여유 기간 1주 동안 시간을 고려한 일정을 선택할 수 있었습니다. 이러한 소통이 있었기 때문에 서로 자유롭게 의견을 제시하고 의견에 대한 각자의 입장을 정리함으로써 5명 팀원 모두 정해진 일정에 발표를 마무리할 수 있었습니다.*자리수 : 984/1000bytes",한국유나이티드제약,전동연구소(분석관련직무),2024 상반기,지거국,화학,학점 3.27/4.5,,,학점 3.27/4.5
2. 가족과 가장 기억나는 추억 및 가족의 의미,"올해 겨울 가족들과 함께 속초로 여행을 갔던 일이 가장 기억에 남습니다. 여행을 가기로 한 전날까지 아무런 계획을 안 세운 것에 대해 화가 나서 혼자 계획을 세웠지만, 이후 다른 가족들도 여행지에서 볼만한 것, 기념품이나 먹을 것 등을 찾아주며 함께 계획을 마무리했습니다. 이후 다음 날 아침부터 버스를 타고 속초에 가서 예상보다 이른 시간에 속초에 도착했습니다. 오랜만에 멀리 여행 온 것에 대해 즐거워하며 사진도 찍고 거리를 걸어 다녔고 점심은 그 전날 계획해 두었던 대게와 킹크랩을 맛있게 먹으며 배를 든든히 채웠습니다. 그런데 생각보다 볼거리를 찾아온 게 없어서 계속해서 걸어 다니며 해수욕장 주변도 걷고 계속해서 걷는 여행이었지만 가족들과 함께이니 재밌었고 사진이나 많이 찍자고 생각하며 사진을 많이 남겼습니다. 저에게 가족은 어느 사람보다도 가까운 사이로 기쁜 일이 있으면 가장 먼저 알려주고 싶고 슬프고 속상한 일이 있으면 털어놓고 위로받고 싶은 존재입니다. 또한 지금까지는 특별한 일이 있지 않은 한 떨어지지 않고 계속 함께하고 있고 다른 사람들은 볼 수 없는 제 모습을 보여줄 수 있는 존재입니다.*자리수 : 980/1000bytes",한국유나이티드제약,전동연구소(분석관련직무),2024 상반기,지거국,화학,학점 3.27/4.5,,,학점 3.27/4.5
3. 성격 및 장/단점,"주변 사람들로부터 미세한 디테일까지 놓치지 않는다는 이야기를 종종 듣습니다. 체외 진단 의료기기를 생산하는 회사에서 현장실습 진행 중에 소변 스트립의 불량을 검수하는 업무를 수행하며 긍정적인 피드백을 들었던 적이 있습니다. 제품에 작은 점, 먼지가 붙어있거나 스트립이 수평으로 잘 붙어있는지 검수하는 업무를 처리하는 과정을 수행하였습니다. 그 당시 하루에 1천개 이상의 스트립을 확인해야 하는 상황이었고 고객에게 컴플레인이 들어오지 않도록 하기 위해 빠르고 꼼꼼하게 스트립의 불량을 확인하였습니다. 이렇게 한 번에 확실하게 불량을 검수해 내고 최소 한 번 이상 다시 확인하는 과정을 통해 불량 제품을 100개 이상을 발견해 낼 수 있었습니다.이처럼 미세한 디테일까지 놓치지 않는 장점이 있지만 일의 시작 전 여러 변수를 고려하다 보니 시간 투자를 많이 하는 경향이 있습니다. 하지만 한정된 시간에 정해진 일을 모두 수행해 내기 위해서는 보완이 필요하므로 해야 할 일이 정해졌을 때 30분 단위의 한정된 시간 목표를 세웠습니다. 이와 같은 목표를 지켜나가다 보니 늘어지지 않게 일을 진행할 수 있었습니다.*자리수 : 972/1000bytes",한국유나이티드제약,전동연구소(분석관련직무),2024 상반기,지거국,화학,학점 3.27/4.5,,,학점 3.27/4.5
4. 교내생활,"신생 실험실의 구성원으로서 실험실에 소속되어 있는 동기들과 함께 실험실을 홍보하는 실험 프로그램을 진행해 본 경험을 가지고 있습니다. 회의를 통해 효과적인 홍보 방법을 논의하였고, 무기재료화학실험실의 특성을 살려 합성실험을 한 후에 그 합성 물질로 배터리를 만들어 보는 실험을 진행하기로 하였습니다. 이후 팀원들의 강점을 파악하여 업무를 분배하여서 저와 다른 동기는 진행해 본 합성실험 경험을 통해 서로 다른 전이 금속을 골라서 합성실험을 하기로 하였습니다. 나머지 다른 동기도 수행해 본 실험을 바탕으로 두 명이 한 합성실험 결과 시료로 배터리를 만드는 역할을 맡기로 하였습니다. 또한 실험을 진행할 때 진행 결과를 확인하고 실험 과정 사진을 찍기 위해 한 명씩 돌아가며 실험할 때 함께 참여하기로 하였습니다. 학기 중이어서 시간이 많지는 않았지만, 실험실 홍보라는 공동의 목표를 생각하며 즐겁게 실험을 준비하였고 직접 후배들과 실험을 진행할 때는 실험의 원리와 과정을 설명해 준 후 실험을 진행하였습니다. 이러한 협업의 과정을 통해 최종적으로 홍보활동을 잘 마무리하고 2명의 신규 학생의 가입 성과도 얻을 수 있었습니다.*자리수 : 997/1000bytes",한국유나이티드제약,전동연구소(분석관련직무),2024 상반기,지거국,화학,학점 3.27/4.5,,,학점 3.27/4.5
5. 지원동기 및 포부,저는 한국인이 주인인 다국적 제약기업을 목표로 하는 한국유나이티드제약의 성장과 함께하고 싶어 한국유나이티드제약에 지원하였습니다. 한국유나이티드제약은 이미 해외법인과 공장을 설립하여 5개의 지사를 보유하고 있으며 올해 4월에는 우크라이나로부터 GMP 우수 의약품 제조 및 관리 기준 승인 확정을 받았습니다. 저는 이렇게 수준 높은 GMP 기준을 가지고 있는 한국유나이티드제약에서 높은 퀄리티의 이화학실험 및 미생물실험을 수행하고 싶습니다.저는 품질관리팀의 신입으로 들어가 맡은 업무를 빠르게 익혀 꼼꼼하고 정확하게 일을 수행하고 싶습니다. 전공에서 배운 내용들과 학교 안팎에서 진행해 본 실험 경험을 통해 품질관리 시험법을 빠르게 익히고 제품의 품질을 분석하는 일을 꼼꼼히 수행할 것입니다. 또한 수출이 많은 한국유나이티드제약에 더 잘 적응하기 위해 언어적 역량도 개발해 나갈 것입니다. 반복되는 분석 실험을 통해 품질관리 규정을 개발하고 업데이트하는 노력도 게을리하지 않을 것입니다. 이를 통해 한국유나이티드제약의 제품에 대한 신뢰성이 향상되도록 하며 품질관리 직무의 전문성과 발전에 기여하도록 노력하겠습니다.*자리수 : 993/1000bytes,한국유나이티드제약,전동연구소(분석관련직무),2024 상반기,지거국,화학,학점 3.27/4.5,,,학점 3.27/4.5
6. 지원분야 업무를 위해 준비한 내용,"제제연구소에서 하는 업무에 지원하기 위해 첫째, 업무수행에 필요한 지식을 습득하기 위해 노력하였습니다. 기기분석, 생물통계학 및 실습과목을 이수하면서 SEM, XRD, RAMAN 등 여러가지 분석기기의 특징을 배우며 기기들의 사용 방법을 학습하였고 그래프를 통해 결과를 분석하는 방법에 대해 배울 수 있었습니다. 더불어 실무에 적용할 수 있도록 6시그마 GB 교육 이수와 자격증 취득을 통해 생산, 품질 등에서 발생하는 결함과 문제를 통계적 기법을 활용하여 근본적인 원인을 찾아 해결하는 방법을 학습할 수 있었습니다. 또한 미니 탭 실습까지 진행하며 결과를 그래프로 나타내고 분석하는 과정까지 수행할 수 있었습니다. 둘째, 업무 수행에 필요한 장비사용 기술 능력을 높이기 위해 노력하였습니다. 1년 6개월 동안 무기 재료화학 실험실 소속의 학생으로서 다양한 분석 도구의 사용 능력을 기를 수 있었고 그중에서도 MnO2 cone 실험을 진행하는 선배에게 실험을 배우는 과정에서 sem의 사용법을 배울 수 있었습니다. 또한 실무 경험을 통해 품질관리 직무가 수행하게될 일에 대해 경험해 볼 수 있었습니다.*자리수 : 948/1000byte",한국유나이티드제약,전동연구소(분석관련직무),2024 상반기,지거국,화학,학점 3.27/4.5,,,학점 3.27/4.5
1. 나의 성장과정,"지금까지 살아오면서 가장 중요하게 생각하는 것 이해관계자들과의 소통입니다. 이 생각을 가지게 된 계기는 다양한 사람들과 생활하는 과정에서 크고 작은 문제들을 해결했기 때문입니다. 학부 시절 무기재료화학 분야의 연구실 소속 학생으로서 매주 세미나에 참여하면서 의사소통의 중요성을 다시금 깨달은 경험이 있습니다. 그 당시, 5명의 팀원과 월 1회 진행되는 발표 스케줄 조정해야 했습니다. 발표 순서를 정하는 과정에서 의견 차이가 발생했고, 이를 해결하고자 했습니다. 우선 서로 원하는 시간을 말해보는 시간을 통해 학업, 아르바이트, 학부 연구생 등의 활동을 병행하다 보니, 서로 원하는 시간에도 이유가 있다는 것을 알게 되었습니다. 이후 합리적인 대안을 마련하고자 5명 팀원의 2개월 동안 개인 스케줄을 공유하고, 서로 겹치지 않고, 과제 수행이 가능한 여유 기간 1주 동안 시간을 고려한 일정을 선택할 수 있었습니다. 이러한 소통이 있었기 때문에 서로 자유롭게 의견을 제시하고 의견에 대한 각자의 입장을 정리함으로써 5명 팀원 모두 정해진 일정에 발표를 마무리할 수 있었습니다.",춘천와이신협,"수신업무, 여신업무, 공제업무, VAN업무",2024 상반기,지거국,화학,학점 3.27/4.5,,,학점 3.27/4.5
2. 나의 성격의 장단점 및 특기사항,"주변 사람들로부터 미세한 디테일까지 놓치지 않는다는 이야기를 종종 듣는 것이 저에게 있어서 꼼꼼하다는 장점으로 작용하게 되었습니다. 체외의료기기를 생산하는 기관에서 현장실습 진행 중에 소변 스트립의 불량을 검수하는 업무를 수행하며 긍정적인 피드백을 들었던 적이 있습니다. 제품에 작은 점, 먼지가 붙어있거나 선이 그어져 있는 경우와 스트립이 수평으로 잘 붙어있는지 검수하는 업무를 처리하는 과정을 수행하였습니다. 그 당시 하루에 1천개 이상의 스트립을 확인해야 하는 상황이었고 만약 검수가 제대로 안 되어 상품으로 나갔을 경우 구매자에게 민원이 들어와 전액을 환불해 주어야 하는 일을 방지하기 위해 스트립을 꼼꼼하게 확인하였습니다. 이렇게 한 번에 확실하게 불량을 검수해 내고 최소 두 번 이상 다시 확인하는 과정을 통해 불량 제품을 100개 이상을 발견해 낼 수 있었습니다. 이처럼 미세한 디테일까지 놓치지 않는 장점이 있지만 일의 시작 전 여러 변수를 고려하다 보니 시간 투자를 많이 하는 경향이 있습니다. 하지만 한정된 시간에 정해진 일을 모두 수행해 내기 위해서는 보완이 필요하므로 해야 할 일이 정해졌을 때 언제까지는 끝내고자 하는 30분 단위의 한정된 시간 목표를 세웠습니다. 이와 같은 목표를 지켜나가다 보니 일이 늘어지지 않고 꼼꼼함에 추진력까지 얻을 수 있었습니다.",춘천와이신협,"수신업무, 여신업무, 공제업무, VAN업무",2024 상반기,지거국,화학,학점 3.27/4.5,,,학점 3.27/4.5
3. 지원동기와 채용해야되는 이유,"신협은 한국의 서민, 중산층을 위한 대표적인 비영리 금융기관입니다. 믿음과 나눔의 정신을 실천하며 사람을 중심으로 생각하는 신협의 경영철학이 제가 지향하는 바와 잘 맞는다고 생각하였습니다. 그래서 제가 가진 역량을 가지고 신협에서 근무하면서 신협이 추구하는 가치를 실현하고 싶어 신협에 지원하였습니다.먼저 저는 꾸준하게 지속되는 일에 대해 일관성 있고 정확하게 일을 수행할 수 있습니다. 대학 입학 때부터 현재까지 꾸준히 가계부를 작성하고 있습니다. 일주일에 한 번씩 한 주에 지출, 수입에 대해 정리하는데 계산한 정보와 가계부 내용이 잘 맞지 않을 때도 가끔 있습니다. 그럴 때마다 저는 정확한 잔액을 맞출 때까지 계속해서 원인을 생각하여 반드시 잔액을 맞춥니다. 이와 더불어 성격적인 장점 또한 업무를 수행하는 데 큰 강점으로 작용할 수 있습니다.다음으로 경제학 강의나 고객관리 교육을 들어 업무에 도움이 될 수 있도록 노력하였습니다. 대학에서 경제학원론 수업을 듣고 경제 용어나 현상에 대해 익숙해지도록 노력하였으며 관련 내용에 흥미를 갖고 공부하여 좋은 성적도 얻을 수 있었습니다. 또한 춘천 와이 신협에 신입사원으로 입사하면 고객과 대면하는 업무가 대부분일 것이라고 생각합니다. 이를 위해 NCS 직무교육 사이트를 통해 고객관리 강의를 들어 신규고객을 확보하고 기존고객을 유지하는 방법 등에 대해 학습할 수 있었습니다.이러한 저의 역량을 발휘하며 춘천 와이 신협의 발전에 기여하고 싶습니다.",춘천와이신협,"수신업무, 여신업무, 공제업무, VAN업무",2024 상반기,지거국,화학,학점 3.27/4.5,,,학점 3.27/4.5
4. 입사 후 계획 및 포부,"우선 신입사원으로서 주어진 업무에 적응을 신속하게 할 수 있도록 노력할 것입니다. 채용공고에 나와 있는 것처럼 수신업무, 여신업무 등을 수행할 것이라고 생각합니다. 이를 위해 평일 저녁이나 주말을 이용해 금융/경제 용어들을 학습하여 더 전문적으로 업무를 수행할 수 있도록 노력할 것입니다. 조직 적응을 위해서도 노력할 것입니다. 함께 근무하는 분들과의 원활한 소통을 위해 적극적으로 다가가 신입직원으로서 필요한 역량 등에 대한 정보를 얻어 그에 부합하는 직원이 될 수 있도록 할 것입니다. 그리고 신협의 이념에 맞는 사람이 되기 위해 조합원분들을 위해 필요한 상품들을 기획하기 위한 아이디어를 활발하게 내놓을 것이며 이를 위해 필요한 조사와 분석을 진행할 것입니다. 또한 조합원분들에게 드릴 도움에 대해 고민하며 사회공헌활동에 적극적으로 참여할 것입니다. 언제나 고객분에게 친절하고 투명한 직원으로서 행동하여 더 신뢰감 있는 직원이 될 수 있도록 노력할 것이고 지속해서 신협의 가치에 부합하는 사람이 되기 위해 노력하겠습니다.",춘천와이신협,"수신업무, 여신업무, 공제업무, VAN업무",2024 상반기,지거국,화학,학점 3.27/4.5,,,학점 3.27/4.5
1. 삼성디스플레이를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.,"[현실과 가상을 연결하는 세일즈 커리어: 삼성디스플레이에서의 여정]메타버스가 세계적인 주목을 받던 시기, 메타버스 기반 대학 박람회를 총괄하면서 영업 자료 제작을 위한 조사 과정에서 메타버스 산업과 이를 뒷받침하는 디스플레이 산업에 대한 깊은 관심을 가지게 되었습니다. 이후 교내에서 열린 삼성디스플레이 채용 설명회에서 '다이아몬드 픽셀'과 같은 혁신적인 기술을 통해 실제와 가장 유사한 이미지를 재현하는 디스플레이를 제작하는 점이 매우 인상 깊었습니다. 이미 세계 최고 수준의 기술력을 확보하고 있음에도 불구하고, 계속해서 도전하는 기업의 비전을 보며 삼성디스플레이에서의 커리어를 꿈꾸게 되었습니다.입사 후에는 중소형사업부에서 목표 매출을 20% 초과 달성하는 가상현실 기기 영업 전문가가 되고자 합니다. 이를 위해 삼성디스플레이의 제품과 기술을 5분 안에 설명할 수 있는 스피치 역량과 지식을 쌓을 계획입니다. 출근길 자투리 시간을 활용해 관련 팟캐스트를 듣고 시장 트렌드를 파악함으로써, 삼성디스플레이의 우수성과 강점을 더 잘 이해하고, 이를 통해 신규 고객 유치 및 기존 고객 유지에 주력하겠습니다.향후 10년의 노력을 통해, 메타버스 세상과 현실 세상을 연결하는 창으로서 삼성디스플레이가 자리매김하도록 기여할 것입니다. 글로벌 디스플레이 분야에서의 전문성을 개발하여, 대체 불가능한 전문 인력으로 성장하겠습니다.",삼성디스플레이,영업마케팅,2024 상반기,전남대학교,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 로펌 인턴 2개월, 호주 거주(영업직 아르바이트 등) 2년, 현장실습 6개월, 중견기업 영업직 3개월차(지원당시)","학점 4.3/4.5 CJ주관 데이터 분석 대외활동 4개월, 봉사70시간, 대학생법원체험형 프로그램, 대학연합동아리1년, 마케팅대외활동 4개월, 기타프로젝트 2건 기타: SQLD, GTQ2급, 운전면허"
